;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100;X101;X102;X103;X104;X105;X106;X107;X108;X109;X110;X111;X112;X113;X114;X115;X116;X117;X118;X119;X120;X121;X122;X123;X124;X125;X126;X127;X128;X129;X130;X131;X132;X133;X134;X135;X136;X137;X138;X139;X140;X141;X142;X143;X144;X145;X146;X147;X148;X149;X150;X151;X152;X153;X154;X155;X156;X157;X158;X159
Belgium;11336,40;998,6;11336,40;11336,40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1004962;671247386;13996;7906;7824;4890;2623;13164846;10014377;6753418;3150468;1275075;1891594;94290;NA;NA;NA;3287;2793;1889;3883;2181;2722;3323;1565;4152;1175;2791;1657;2524;811;1225;80521837;24279373;276907057;3724;1090;2469;1541;2290;724;1116;1102;651;1344;1264;333;961;733;727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22848;12991;35839;22547;14727;37274;22848;12991;35839;3093;525;3618;22547;14727;37274;1775;262;2037;6387,8;3,83;2,65
Bulgaria;388,71;54,7;388,71;388,71;18898;17359;474,4;162,3;12563;14367;539,2;158,5;4400;NA;355,2;NA;1935;NA;464,5;NA;929202;76328747;14663;2906;2886;844;245;615860;597912;242511;17949;30216;316906;8279;1178;967;707;608;494;371;1374;891;1184;934;494;1391;781;1300;828;1228;757;867;2486779;2080345;14040733;862;561;908;631;741;537;622;843;432;1076;586;309;918;519;783;893;503;1008;623;319;753;570;1286;655;407;872;553;519;207;450;572;517;163;89;830;842;1010;874;806;844;571;194;333;166;163;289;406;175;245;221;255;203;164;387;111;58;26;30;44;43;50;33;1339;291;455;710;377;523;254;364;160;1808;9772;2522;1112;1030;401;854;390;669;629;367;189;1815;629;2444;910;582;1492;1815;629;2444;267;75;342;910;582;1492;102;56;158;4620,3;5,43;2,59
Czechia;3433,34;324,5;3433,34;3433,34;31831;11082;304,1;91,5;23792;8662;350,9;87,8;6248;2114;224,6;107;1789;305;192,9;111,9;1738412;328157330;22605;8342;8315;4775;2629;4447091;2503178;1291320;723482;250871;1947177;234241;4959;4344;1602;3230;2876;1413;4461;2751;4603;3610;2261;2378;1512;2754;2745;4054;1498;2402;21540909;20975236;112492571;2038;1303;2262;2272;2901;1277;1943;2099;NA;NA;1476;504;1764;NA;NA;2102;NA;NA;1253;865;1582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15887;10851;26738;20518;5380;25898;15887;10851;26738;4133;4251;8384;20518;5380;25898;8241;1815;10056;161,8;4,29;2,96
Germany (until 1990 former territory of the FRG);99052,15;1200,3;99052,15;99052,15;166307;-35845;182,9;-68,6;114298;-29553;188,7;-66,8;40427;-6402;169,2;-94,1;11581;94;181,4;15,3;12658425;4951427416;143068;71600;61205;35421;11032;154204705;139492794;73640282;14711911;25078593;38314904;2459015;52716;44057;9950;14430;13883;5484;38051;25425;30449;28442;18542;35725;17772;34342;20042;22593;23717;14834;1004071;1872445;7789880;26993;13558;26080;15451;16624;18606;11860;10996;7678;18185;12961;4197;9977;7085;7498;3662;3055;6548;4459;2152;3429;2433;8859;4249;3747;3662;4746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36667;2441;4967;14472;9845;10818;7290;6790;4603;NA;NA;NA;NA;NA;NA;NA;8461;12491;7062;8080;4554;84953;74617;159570;100923;92612;193535;84953;74617;159570;14119;14018;28137;100923;92612;193535;14945;3351;18296;94,0;4,09;2,74
Estonia;304,32;231,3;304,32;304,32;4703;875;265,2;45,5;2478;199;208,3;11,5;1853;636;380,5;277,8;347;30;377,3;214,4;178257;25792678;3714;1649;1631;627;273;764031;726861;232195;37171;31003;455692;7972;324;314;112;948;832;591;541;388;899;373;368;408;225;424;215;309;212;198;11143209;51343595;147339466;363;199;374;195;256;196;169;293;145;353;281;46;239;148;236;175;117;182;91;73;131;73;247;143;92;159;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467;79;128;212;228;139;89;112;82;174;2373;291;122;303;58;114;191;121;95;138;108;1282;425;1707;1127;420;1547;1282;425;1707;139;15;155;1127;420;1547;19;14;33;157,5;4,91;3,69
Greece;2038,52;189,3;2038,52;2038,52;24458;10687;388;230,9;18288;8852;367,2;220,4;5287;NA;467,3;NA;883;NA;482,2;NA;568760;153123987;10905;4684;4682;2406;1053;2048832;1986592;612590;62240;74709;1268736;30557;1665;1471;339;2545;2365;1273;2353;2170;2598;2994;1351;1993;1401;2741;2596;2867;1182;1730;105455873;108945981;288653109;1711;1087;2272;2209;2258;987;1421;2262;2017;1740;792;531;2139;1404;1565;782;678;641;184;166;667;414;971;408;325;291;487;1088;161;652;799;405;150;172;2864;2555;3827;3194;2998;911;2033;520;1497;537;510;469;3242;1338;466;676;384;432;148;1838;643;75;117;42;68;24;260;147;2557;327;949;1215;835;915;741;433;458;825;6974;937;103;439;233;278;1028;1271;1186;943;757;2651;1060;3711;894;354;1248;2651;1060;3711;363;480;843;894;354;1248;348;99;447;25,7;2,13;1,55
France;50158,87;748,8;50158,87;50158,87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2594423042;72107;31180;30859;20547;8895;51643008;41693625;28549662;9949383;2696620;9545551;901792;13338;11797;1557;10767;10307;4980;14611;11968;15586;11157;8510;14866;8353;16280;8214;10341;5659;7087;2183664;1377383;18016695;14866;8353;16280;8214;10341;5659;7087;10276;5015;7539;6556;2400;NA;5653;4285;4370;2369;4220;3232;1526;NA;2903;NA;2997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13647;1710;2684;7187;4230;4804;2632;2614;1972;1464;51882;2449;717;4129;350;1072;5254;4249;5170;4566;2886;48353;31277;79630;37909;59554;97463;48353;31277;79630;8646;2276;10922;37909;59554;97463;1750;1314;3064;572,0;4,01;2,97
Croatia;423,52;101,9;423,52;423,52;8239;328;260,1;9,5;6434;-28;279,9;-0,7;1390;353;210,6;75,7;NA;NA;NA;NA;435943;44289452;6576;2211;2196;902;607;757799;731165;122285;26634;50420;523767;34692;710;568;294;717;644;415;931;830;1220;1280;783;1225;525;1417;846;1060;734;854;110979444;137736779;827200278;952;375;1064;604;678;527;558;1120;554;983;588;365;929;621;734;311;203;278;142;184;190;119;321;133;131;186;231;208;128;197;269;151;79;44;1923;1597;1990;1876;1957;1354;1600;504;759;396;449;541;767;762;332;500;467;406;285;800;356;175;90;59;76;64;95;74;1325;202;339;591;342;660;320;272;166;810;3997;924;160;323;151;16;503;658;622;477;330;1405;484;1889;671;636;1307;1405;484;1889;207;56;263;671;636;1307;18;22;40;885,6;4,22;2,34
Italy;23355,25;385,5;23355,25;23355,25;-16562;-134941;-27,2;-252,2;-32074;-131586;-63,8;-269,3;9373;-3711;92,3;-93,1;6163;357;306,5;95;5414181;2005644558;115239;50804;50654;25361;8315;28658356;26015686;12271955;2642671;4756828;7589832;1397071;16851;15367;2492;7191;6961;2322;29549;17586;23489;23691;13547;18608;10771;26067;15649;17039;8997;10659;1298424;938380;5387093;15962;7846;20417;13068;13165;7621;8625;11406;10837;6107;13157;3729;6226;16562;12484;7734;4704;3718;5876;3197;4276;6301;9342;7708;2338;1562;6859;9439;2123;9459;9833;4935;4371;659;15215;14739;19528;18027;17471;9228;8303;2523;6555;1992;2067;2059;7122;1100;1936;2822;4547;2633;618;13926;340;657;949;517;648;161;2340;146;26600;3473;7071;12811;7493;11152;6973;5142;3534;7664;75182;10969;2634;8115;1979;4768;9233;10801;7319;6991;3177;26524;14990;41514;17335;16624;33958;26524;14990;41514;3982;1901;5883;17335;16624;33958;1420;774;2193;38,1;3,28;2,42
Latvia;137,90;70,7;137,90;137,90;9040;10720;621,5;320,9;6773;9230;698,5;326,9;1759;1278;447,7;267,6;NA;222;NA;492,5;250839;29369861;4799;1025;1009;455;222;262755;253687;32530;9068;31727;187495;1935;232;193;94;297;256;180;436;349;509;335;334;574;299;645;299;428;240;314;5120310;1490919;13411673;394;203;394;241;301;188;221;346;167;435;111;93;313;244;308;223;115;229;92;63;192;110;456;115;178;347;413;153;101;130;135;104;107;65;666;693;781;719;727;601;434;104;147;79;86;89;195;44;108;152;88;85;55;288;27;23;8;12;10;11;18;7;384;67;103;168;90;152;57;44;52;190;3228;292;81;894;29;47;124;194;151;111;71;1220;831;2052;709;598;1307;1220;831;2052;228;33;261;709;598;1307;102;31;133;15,7;4,61;3,59
